Account Length,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn
128,no,yes,25,265.1,110,197.4,99,244.7,91,10,3,2.7,1,False
107,no,yes,26,161.6,123,195.5,103,254.4,103,13.7,3,3.7,1,False
137,no,no,0,243.4,114,121.2,110,162.6,104,12.2,5,3.29,0,False
84,yes,no,0,299.4,71,61.9,88,196.9,89,6.6,7,1.78,2,False
75,yes,no,0,166.7,113,148.3,122,186.9,121,10.1,3,2.73,3,False
118,yes,no,0,223.4,98,220.6,101,203.9,118,6.3,6,1.7,0,False
121,no,yes,24,218.2,88,348.5,108,212.6,118,7.5,7,2.03,3,False
147,yes,no,0,157,79,103.1,94,211.8,96,7.1,6,1.92,0,False
117,no,no,0,184.5,97,351.6,80,215.8,90,8.7,4,2.35,1,False
141,yes,yes,37,258.6,84,222,111,326.4,97,11.2,5,3.02,0,False
65,no,no,0,129.1,137,228.5,83,208.8,111,12.7,6,3.43,4,True
74,no,no,0,187.7,127,163.4,148,196,94,9.1,5,2.46,0,False
168,no,no,0,128.8,96,104.9,71,141.1,128,11.2,2,3.02,1,False
95,no,no,0,156.6,88,247.6,75,192.3,115,12.3,5,3.32,3,False
62,no,no,0,120.7,70,307.2,76,203,99,13.1,6,3.54,4,False
161,no,no,0,332.9,67,317.8,97,160.6,128,5.4,9,1.46,4,True
85,no,yes,27,196.4,139,280.9,90,89.3,75,13.8,4,3.73,1,False
93,no,no,0,190.7,114,218.2,111,129.6,121,8.1,3,2.19,3,False
76,no,yes,33,189.7,66,212.8,65,165.7,108,10,5,2.7,1,False
73,no,no,0,224.4,90,159.5,88,192.8,74,13,2,3.51,1,False
147,no,no,0,155.1,117,239.7,93,208.8,133,10.6,4,2.86,0,False
77,no,no,0,62.4,89,169.9,121,209.6,64,5.7,6,1.54,5,True
130,no,no,0,183,112,72.9,99,181.8,78,9.5,19,2.57,0,False
111,no,no,0,110.4,103,137.3,102,189.6,105,7.7,6,2.08,2,False
132,no,no,0,81.1,86,245.2,72,237,115,10.3,2,2.78,0,False
174,no,no,0,124.3,76,277.1,112,250.7,115,15.5,5,4.19,3,False
57,no,yes,39,213,115,191.1,112,182.7,115,9.5,3,2.57,0,False
54,no,no,0,134.3,73,155.5,100,102.1,68,14.7,4,3.97,3,False
20,no,no,0,190,109,258.2,84,181.5,102,6.3,6,1.7,0,False
49,no,no,0,119.3,117,215.1,109,178.7,90,11.1,1,3,1,False
142,no,no,0,84.8,95,136.7,63,250.5,148,14.2,6,3.83,2,False
75,no,no,0,226.1,105,201.5,107,246.2,98,10.3,5,2.78,1,False
172,no,no,0,212,121,31.2,115,293.3,78,12.6,10,3.4,3,False
12,no,no,0,249.6,118,252.4,119,280.2,90,11.8,3,3.19,1,True
57,no,yes,25,176.8,94,195,75,213.5,116,8.3,4,2.24,0,False
72,no,yes,37,220,80,217.3,102,152.8,71,14.7,6,3.97,3,False
36,no,yes,30,146.3,128,162.5,80,129.3,109,14.5,6,3.92,0,False
78,no,no,0,130.8,64,223.7,116,227.8,108,10,5,2.7,1,False
136,yes,yes,33,203.9,106,187.6,99,101.7,107,10.5,6,2.84,3,False
149,no,no,0,140.4,94,271.8,92,188.3,108,11.1,9,3,1,False
